index,distance,elevation,x,curved_elevation,F1,LOS
0,0.0,210,0.0,210.0,0.0,240.0
1,0.0010656733561469971,210,0.00040093903386079254,210.00040093903385,0.13696118220718753,240.02078927330172
2,0.0021313467122939943,210,0.0008017443768133288,210.00080174437682,0.1936762143107559,240.04157854660343
3,0.0031970200684409917,210,0.0012024160288576086,210.00120241602886,0.23718417247882764,240.06236781990512
4,0.004262693424587989,210,0.001602953989993632,210.00160295399,0.27385385242087,240.08315709320684
5,0.0053283667807349855,210,0.0020033582602213993,210.00200335826023,0.3061523777853147,240.10394636650855
6,0.006394040136881983,211,0.0024036288395409104,211.00240362883955,0.3353451497905068,240.12473563981027
7,0.007459713493028979,211,0.0028037657279521644,211.00280376572795,0.3621839390130349,240.14552491311198
8,0.008525386849175977,211,0.0032037689254551622,211.00320376892546,0.38715860702888055,240.16631418641367
9,0.009591060205322976,211,0.003603638432049905,211.00360363843205,0.4106094414899073,240.1871034597154
10,0.010656733561469971,211,0.004003374247736389,211.00400337424773,0.43278422454073906,240.2078927330171
11,0.01172240691761697,211,0.00440297637251462,211.00440297637252,0.45387002733003784,240.22868200631882
12,0.012788080273763967,211,0.004802444806384592,211.0048024448064,0.47401219766201647,240.24947127962054
13,0.013853753629910964,211,0.005201779549346309,211.00520177954934,0.4933263326468038,240.27026055292222
14,0.014919426986057959,211,0.005600980601399768,211.0056009806014,0.51190616577619,240.29104982622394
15,0.015985100342204957,211,0.006000047962544971,211.00600004796254,0.5298289533077448,240.31183909952566
16,0.017050773698351954,211,0.0063989816327819195,211.00639898163277,0.5471592657474108,240.33262837282737
17,0.01811644705449895,211,0.00679778161211061,211.0067977816121,0.5639517262584414,240.35341764612906
18,0.01918212041064595,211,0.0071964479005310455,211.00719644790053,0.580253032851248,240.37420691943078
19,0.020247793766792945,211,0.0075949804980432216,211.00759498049806,0.5961034808175771,240.3949961927325
20,0.021313467122939942,211,0.007993379404647146,211.00799337940464,0.6115381285571301,240.4157854660342
21,0.022379140479086942,211,0.008391644620342812,211.00839164462033,0.6265877038707728,240.43657473933592
22,0.02344481383523394,211,0.00878977614513022,211.00878977614514,0.6412793180288153,240.4573640126376
23,0.024510487191380933,211,0.009187773979009372,211.00918777397902,0.6556370352165309,240.47815328593933
24,0.025576160547527933,211,0.00958563812198027,211.009585638122,0.6696823316245605,240.49894255924104
25,0.026641833903674927,211,0.00998336857404291,211.00998336857404,0.6834344692501675,240.51973183254276
26,0.027707507259821927,211,0.010380965335197294,211.0103809653352,0.6969108030121024,240.54052110584448
27,0.028773180615968924,211,0.010778428405443423,211.01077842840544,0.7101270351685349,240.56131037914616
28,0.029838853972115918,211,0.01117575778478129,211.01117575778477,0.7230974276859923,240.58209965244788
29,0.030904527328262918,215,0.011572953473210907,215.0115729534732,0.7358349807541831,240.6028889257496
30,0.031970200684409915,215,0.011970015470732264,215.01197001547072,0.7483515838183842,240.6236781990513
31,0.03303587404055691,212,0.012366943777345367,212.01236694377735,0.7606581441304788,240.64446747235303
32,0.03410154739670391,212,0.012763738393050212,212.01276373839306,0.7727646967784756,240.66525674565472
33,0.035167220752850906,212,0.013160399317846802,212.01316039931785,0.7846804993555017,240.68604601895643
34,0.0362328941089979,212,0.013556926551735135,212.01355692655173,0.7964141138107955,240.70683529225815
35,0.0372985674651449,212,0.013953320094715211,212.0139533200947,0.8079734775423231,240.72762456555986
36,0.0383642408212919,212,0.014349579946787034,212.01434957994678,0.8193659654105729,240.74841383886158
37,0.03942991417743889,212,0.014745706107950597,212.01474570610796,0.8305984440517151,240.76920311216327
38,0.04049558753358589,212,0.015141698578205904,212.01514169857822,0.8416773196276737,240.78999238546498
39,0.041561260889732894,212,0.015537557357552956,212.01553755735756,0.8526085799572307,240.8107816587667
40,0.042626934245879884,212,0.01593328244599175,212.01593328244599,0.8633978318158497,240.83157093206842
41,0.04369260760202688,212,0.016328873843522287,212.01632887384352,0.8740503340646353,240.8523602053701
42,0.044758280958173885,212,0.01672433155014457,212.01672433155014,0.8845710271647245,240.87314947867182
43,0.045823954314320875,212,0.017119655565858594,212.01711965556586,0.8949645595477932,240.89393875197354
44,0.04688962767046788,212,0.01751484589066437,212.01751484589067,0.9052353112425857,240.91472802527525
45,0.047955301026614876,212,0.017909902524561882,212.01790990252456,0.9153874150986078,240.93551729857697
46,0.049020974382761866,212,0.018304825467551137,212.01830482546754,0.9254247758991143,240.95630657187866
47,0.05008664773890886,212,0.018699614719632135,212.01869961471962,0.9353510876144345,240.97709584518037
48,0.05115232109505587,212,0.019094270280804883,212.01909427028082,0.9451698490121504,240.9978851184821
49,0.052217994451202863,212,0.01948879215106937,212.01948879215107,0.9548843778114506,241.0186743917838
50,0.053283667807349853,212,0.019883180330425597,212.01988318033042,0.964497823544271,241.03946366508552
51,0.05434934116349686,212,0.020277434818873577,212.02027743481887,0.9740131792647757,241.0602529383872
52,0.055415014519643854,211,0.020671555616413293,211.02067155561642,0.9834332922307852,241.08104221168892
53,0.056480687875790844,211,0.021065542723044756,211.02106554272305,0.9927608736653811,241.10183148499064
54,0.05754636123193785,211,0.021459396138767965,211.02145939613877,1.0019985076936921,241.12262075829236
55,0.058612034588084845,211,0.021853115863582913,211.0218531158636,1.0111486595384904,241.14341003159407
56,0.059677707944231835,211,0.0222467018974896,211.0222467018975,1.020213683048385,241.16419930489576
57,0.06074338130037884,211,0.02264015424048804,211.0226401542405,1.029195827623869,241.18498857819748
58,0.061809054656525836,211,0.023033472892578226,211.02303347289256,1.0380972445990673,241.2057778514992
