index,distance,elevation
0,0.0,210
1,0.0010656733561469971,210
2,0.0021313467122939943,210
3,0.0031970200684409917,210
4,0.004262693424587989,210
5,0.0053283667807349855,210
6,0.006394040136881983,211
7,0.007459713493028979,211
8,0.008525386849175977,211
9,0.009591060205322976,211
10,0.010656733561469971,211
11,0.01172240691761697,211
12,0.012788080273763967,211
13,0.013853753629910964,211
14,0.014919426986057959,211
15,0.015985100342204957,211
16,0.017050773698351954,211
17,0.01811644705449895,211
18,0.01918212041064595,211
19,0.020247793766792945,211
20,0.021313467122939942,211
21,0.022379140479086942,211
22,0.02344481383523394,211
23,0.024510487191380933,211
24,0.025576160547527933,211
25,0.026641833903674927,211
26,0.027707507259821927,211
27,0.028773180615968924,211
28,0.029838853972115918,211
29,0.030904527328262918,215
30,0.031970200684409915,215
31,0.03303587404055691,212
32,0.03410154739670391,212
33,0.035167220752850906,212
34,0.0362328941089979,212
35,0.0372985674651449,212
36,0.0383642408212919,212
37,0.03942991417743889,212
38,0.04049558753358589,212
39,0.041561260889732894,212
40,0.042626934245879884,212
41,0.04369260760202688,212
42,0.044758280958173885,212
43,0.045823954314320875,212
44,0.04688962767046788,212
45,0.047955301026614876,212
46,0.049020974382761866,212
47,0.05008664773890886,212
48,0.05115232109505587,212
49,0.052217994451202863,212
50,0.053283667807349853,212
51,0.05434934116349686,212
52,0.055415014519643854,211
53,0.056480687875790844,211
54,0.05754636123193785,211
55,0.058612034588084845,211
56,0.059677707944231835,211
57,0.06074338130037884,211
58,0.061809054656525836,211
59,0.06287472801267283,211
60,0.06394040136881983,211
61,0.06500607472496683,211
62,0.06607174808111382,211
63,0.06713742143726083,211
64,0.06820309479340782,211
65,0.06926876814955481,211
66,0.07033444150570181,211
67,0.07140011486184882,211
68,0.0724657882179958,211
69,0.07353146157414281,211
70,0.0745971349302898,211
71,0.07566280828643679,211
72,0.0767284816425838,211
73,0.0777941549987308,211
74,0.07885982835487779,211
75,0.07992550171102479,209
76,0.08099117506717178,209
77,0.08205684842331878,209
78,0.08312252177946579,209
79,0.08418819513561278,209
80,0.08525386849175977,209
81,0.08631954184790677,209
82,0.08738521520405376,209
83,0.08845088856020077,209
84,0.08951656191634777,209
85,0.09058223527249476,209
86,0.09164790862864175,209
87,0.09271358198478875,209
88,0.09377925534093576,209
89,0.09484492869708275,209
90,0.09591060205322975,209
91,0.09697627540937674,209
92,0.09804194876552373,209
93,0.09910762212167074,209
94,0.10017329547781773,209
95,0.10123896883396474,209
96,0.10230464219011173,209
97,0.10337031554625872,209
98,0.10443598890240573,210
99,0.10550166225855272,210
100,0.10656733561469971,210
101,0.10763300897084672,210
102,0.10869868232699371,210
103,0.1097643556831407,210
104,0.11083002903928771,210
105,0.1118957023954347,210
106,0.11296137575158169,210
107,0.1140270491077287,210
108,0.1150927224638757,210
109,0.1161583958200227,210
110,0.11722406917616969,210
111,0.11828974253231668,210
112,0.11935541588846367,210
113,0.12042108924461069,210
114,0.12148676260075768,210
115,0.12255243595690468,210
116,0.12361810931305167,210
117,0.12468378266919866,210
118,0.12574945602534565,210
119,0.12681512938149267,210
120,0.12788080273763966,211
121,0.12894647609378665,211
122,0.13001214944993367,211
123,0.13107782280608066,211
124,0.13214349616222765,211
125,0.13320916951837466,211
126,0.13427484287452165,211
127,0.13534051623066864,211
128,0.13640618958681563,211
129,0.13747186294296262,211
130,0.13853753629910961,211
131,0.13960320965525663,209
132,0.14066888301140362,209
133,0.14173455636755064,209
134,0.14280022972369763,209
135,0.14386590307984462,209
136,0.1449315764359916,209
137,0.14599724979213863,209
138,0.14706292314828562,209
139,0.1481285965044326,209
140,0.1491942698605796,209
141,0.1502599432167266,209
142,0.15132561657287358,209
143,0.1523912899290206,212
144,0.1534569632851676,212
145,0.1545226366413146,212
146,0.1555883099974616,212
147,0.15665398335360858,212
148,0.15771965670975557,212
149,0.1587853300659026,212
150,0.15985100342204958,212
151,0.16091667677819657,212
152,0.16198235013434356,212
153,0.16304802349049055,212
154,0.16411369684663757,212
155,0.1651793702027846,212
156,0.16624504355893158,212
157,0.16731071691507857,212
158,0.16837639027122556,212
159,0.16944206362737255,212
160,0.17050773698351954,212
161,0.17157341033966655,212
162,0.17263908369581354,212
163,0.17370475705196053,212
164,0.17477043040810752,212
165,0.17583610376425454,212
166,0.17690177712040153,210
167,0.17796745047654855,210
168,0.17903312383269554,210
169,0.18009879718884253,210
170,0.18116447054498952,210
171,0.1822301439011365,210
172,0.1832958172572835,210
173,0.18436149061343052,210
174,0.1854271639695775,210
175,0.1864928373257245,210
176,0.18755851068187152,210
177,0.1886241840380185,210
178,0.1896898573941655,210
179,0.1907555307503125,210
180,0.1918212041064595,210
181,0.1928868774626065,206
182,0.19395255081875348,206
183,0.19501822417490047,206
184,0.19608389753104746,206
185,0.19714957088719448,206
186,0.19821524424334147,206
187,0.1992809175994885,206
188,0.20034659095563545,206
189,0.20141226431178247,204
190,0.2024779376679295,204
191,0.20354361102407645,204
192,0.20460928438022347,204
193,0.20567495773637043,204
194,0.20674063109251745,204
195,0.20780630444866446,204
196,0.20887197780481145,204
197,0.20993765116095844,204
198,0.21100332451710543,204
199,0.21206899787325245,204
200,0.21313467122939941,204
201,0.21420034458554643,204
202,0.21526601794169345,204
203,0.2163316912978404,204
204,0.21739736465398743,204
205,0.2184630380101344,204
206,0.2195287113662814,204
207,0.22059438472242843,204
208,0.22166005807857542,204
209,0.22272573143472243,204
210,0.2237914047908694,204
211,0.22485707814701641,204
212,0.22592275150316338,204
213,0.2269884248593104,204
